"naf_rev1","naf_rev2"
"011A","0111Z"
"011C","0111Z"
"011D","0113Z"
"011F","0122Z"
"011G","0121Z"
"012A","0141Z"
"012C","0143Z"
"012E","0146Z"
"012G","0147Z"
"012J","0144Z"
"013Z","0150Z"
"014A","0161Z"
"014B","8130Z"
"014D","0162Z"
"015Z","0170Z"
"020A","0129Z"
"020B","0220Z"
"020D","0240Z"
"050A","0311Z"
"050C","0322Z"
"101Z","0510Z"
"102Z","0520Z"
"103Z","0892Z"
"111Z","0610Z"
"112Z","0910Z"
"120Z","0721Z"
"131Z","0710Z"
"132Z","0729Z"
"141A","0811Z"
"141C","0811Z"
"141E","0811Z"
"142A","0812Z"
"142C","0812Z"
"143Z","0891Z"
"144Z","0893Z"
"145Z","0899Z"
"151A","1011Z"
"151C","1012Z"
"151E","1013A"
"151F","1013B"
"152Z","1020Z"
"153A","1031Z"
"153C","1032Z"
"153E","1039A"
"153F","1039B"
"154A","1041A"
"154C","1041B"
"154E","1042Z"
"155A","1051A"
"155B","1051B"
"155C","1051C"
"155D","1051D"
"155F","1052Z"
"156A","1061A"
"156B","1061B"
"156D","1062Z"
"157A","1091Z"
"157C","1092Z"
"158A","1071A"
"158B","1071B"
"158C","1071C"
"158D","1071D"
"158F","1072Z"
"158H","1081Z"
"158K","1082Z"
"158M","1073Z"
"158P","1083Z"
"158R","1084Z"
"158T","1086Z"
"158V","1085Z"
"159A","1101Z"
"159B","1101Z"
"159D","1101Z"
"159F","1102A"
"159G","1102B"
"159J","1103Z"
"159L","1104Z"
"159N","1105Z"
"159Q","1106Z"
"159S","1107A"
"159T","1107B"
"160Z","1200Z"
"171A","1310Z"
"171C","1310Z"
"171E","1310Z"
"171F","1310Z"
"171H","1310Z"
"171K","1310Z"
"171M","1310Z"
"171P","1310Z"
"172A","1320Z"
"172C","1320Z"
"172E","1320Z"
"172G","1320Z"
"172J","1320Z"
"173Z","1330Z"
"174A","1392Z"
"174B","1392Z"
"174C","1392Z"
"175A","1393Z"
"175C","1394Z"
"175E","1395Z"
"175G","1396Z"
"176Z","1391Z"
"177A","1431Z"
"177C","1439Z"
"181Z","1411Z"
"182A","1412Z"
"182C","1413Z"
"182D","1413Z"
"182E","1413Z"
"182G","1414Z"
"182J","1419Z"
"183Z","1420Z"
"191Z","1511Z"
"192Z","1512Z"
"193Z","1520Z"
"201A","1610A"
"201B","1610B"
"202Z","1621Z"
"203Z","1622Z"
"204Z","1624Z"
"205A","1629Z"
"205C","1629Z"
"211A","1711Z"
"211C","1712Z"
"212A","1721A"
"212B","1721B"
"212C","1721C"
"212E","1722Z"
"212G","1723Z"
"212J","1724Z"
"212L","1729Z"
"221A","3299Z"
"221C","5813Z"
"221E","5814Z"
"221G","5920Z"
"221J","5819Z"
"222A","1811Z"
"222C","1812Z"
"222E","1814Z"
"222G","1813Z"
"222J","1813Z"
"223A","1820Z"
"223C","1820Z"
"223E","1820Z"
"231Z","1910Z"
"232Z","1920Z"
"233Z","2013A"
"241A","2011Z"
"241C","2012Z"
"241E","2013B"
"241G","2014Z"
"241J","2015Z"
"241L","2016Z"
"241N","2017Z"
"242Z","2020Z"
"243Z","2030Z"
"244A","2110Z"
"244C","2120Z"
"244D","2120Z"
"245A","2041Z"
"245C","2042Z"
"246A","2051Z"
"246C","2052Z"
"246E","2053Z"
"246G","2059Z"
"246J","2680Z"
"246L","2059Z"
"247Z","2060Z"
"251A","2211Z"
"251C","2211Z"
"251E","2219Z"
"252A","2221Z"
"252C","2222Z"
"252E","2223Z"
"252G","2229A"
"252H","2229A"
"261A","2311Z"
"261C","2312Z"
"261E","2313Z"
"261G","2314Z"
"261J","2319Z"
"261K","2319Z"
"262A","2341Z"
"262C","2342Z"
"262E","2343Z"
"262G","2344Z"
"262J","2349Z"
"262L","2320Z"
"263Z","2331Z"
"264A","2332Z"
"264B","2332Z"
"264C","2332Z"
"265A","2351Z"
"265C","2352Z"
"265E","2352Z"
"266A","2361Z"
"266C","2362Z"
"266E","2363Z"
"266G","2364Z"
"266J","2365Z"
"266L","2369Z"
"267Z","2370Z"
"268A","2391Z"
"268C","2399Z"
"271Y","2410Z"
"272A","2451Z"
"272C","2420Z"
"273A","2431Z"
"273C","2432Z"
"273E","2433Z"
"273G","2434Z"
"274A","2441Z"
"274C","2442Z"
"274D","2442Z"
"274F","2443Z"
"274G","2443Z"
"274J","2444Z"
"274K","2444Z"
"274M","2445Z"
"275A","2451Z"
"275C","2452Z"
"275E","2453Z"
"275G","2454Z"
"281A","2511Z"
"281C","2512Z"
"282C","2529Z"
"282D","2521Z"
"283A","2530Z"
"283B","2530Z"
"283C","3311Z"
"284A","2550A"
"284B","2550B"
"284C","2550A"
"285A","2561Z"
"285C","2562A"
"285D","2562B"
"286A","2571Z"
"286C","2573B"
"286D","2573B"
"286F","2572Z"
"287A","2591Z"
"287C","2592Z"
"287E","2593Z"
"287G","2594Z"
"287H","2593Z"
"287J","2593Z"
"287L","2599A"
"287N","2599B"
"287Q","2599B"
"291A","2811Z"
"291B","2813Z"
"291D","2812Z"
"291E","2813Z"
"291F","2814Z"
"291H","2815Z"
"291J","2815Z"
"292A","2821Z"
"292C","2822Z"
"292D","2822Z"
"292F","2825Z"
"292H","2829A"
"292J","2829A"
"292L","2829B"
"292M","2829B"
"293A","2830Z"
"293C","3312Z"
"293D","2830Z"
"294A","2841Z"
"294B","2849Z"
"294C","2824Z"
"294D","2849Z"
"294E","2849Z"
"295A","2891Z"
"295B","2892Z"
"295D","2892Z"
"295E","2893Z"
"295G","2894Z"
"295J","2895Z"
"295L","2899A"
"295M","2896Z"
"295N","2573A"
"295Q","2899B"
"295R","2899B"
"296A","2540Z"
"296B","2540Z"
"297A","2751Z"
"297C","2752Z"
"300A","2823Z"
"300C","2620Z"
"311A","2711Z"
"311B","2711Z"
"311C","3313Z"
"312A","2712Z"
"312B","2712Z"
"313Z","2732Z"
"314Z","2720Z"
"315A","2740Z"
"315B","2740Z"
"315C","2740Z"
"316A","2931Z"
"316C","2790Z"
"316D","2790Z"
"321A","2790Z"
"321C","2611Z"
"321D","2612Z"
"322A","2630Z"
"322B","2630Z"
"323Z","2640Z"
"331A","2660Z"
"331B","3250A"
"332A","2651A"
"332B","2651B"
"333Z","3320C"
"334A","3250B"
"334B","2670Z"
"335Z","2652Z"
"341Z","2910Z"
"342A","2920Z"
"342B","2920Z"
"343Z","2932Z"
"351A","3011Z"
"351B","3011Z"
"351C","3011Z"
"351E","3012Z"
"352Z","3020Z"
"353A","3030Z"
"353B","3030Z"
"353C","3030Z"
"354A","3091Z"
"354C","3092Z"
"354E","3092Z"
"355Z","3099Z"
"361A","3109A"
"361C","3101Z"
"361E","3102Z"
"361G","3109B"
"361H","3109B"
"361J","3109B"
"361K","3109B"
"361M","3103Z"
"362A","3211Z"
"362C","3212Z"
"363Z","3220Z"
"364Z","3230Z"
"365Z","3240Z"
"366A","3213Z"
"366C","3291Z"
"366E","3299Z"
"371Z","3831Z"
"372Z","3831Z"
"401A","3511Z"
"401C","3512Z"
"401E","3513Z"
"402A","3521Z"
"402C","3522Z"
"403Z","3530Z"
"410Z","3600Z"
"451A","4311Z"
"451B","4312B"
"451D","4313Z"
"452A","4120A"
"452B","4120B"
"452C","4120B"
"452D","4213B"
"452E","4221Z"
"452F","4222Z"
"452J","4391B"
"452K","4399A"
"452L","4391A"
"452N","4212Z"
"452P","4211Z"
"452R","4291Z"
"452T","4399B"
"452U","4399D"
"452V","4399C"
"453A","4321A"
"453C","4329A"
"453E","4322A"
"453F","4322B"
"453H","4321B"
"454A","4331Z"
"454C","4332A"
"454D","4332B"
"454F","4333Z"
"454H","4334Z"
"454J","4334Z"
"454L","4332C"
"454M","4339Z"
"455Z","4399E"
"501Z","4511Z"
"502Z","4520A"
"503A","4531Z"
"503B","4532Z"
"504Z","4540Z"
"505Z","4730Z"
"511A","4611Z"
"511C","4612B"
"511E","4613Z"
"511G","4614Z"
"511J","4615Z"
"511L","4616Z"
"511N","4617B"
"511P","4617A"
"511R","4618Z"
"511T","4619B"
"511U","4619A"
"512A","4621Z"
"512C","4622Z"
"512E","4623Z"
"512G","4624Z"
"512J","4621Z"
"513A","4631Z"
"513C","4632A"
"513D","4632B"
"513E","4632C"
"513G","4633Z"
"513J","4634Z"
"513L","4635Z"
"513N","4636Z"
"513Q","4637Z"
"513S","4638A"
"513T","4638B"
"513V","4639A"
"513W","4639B"
"514A","4641Z"
"514C","4642Z"
"514D","4642Z"
"514F","4643Z"
"514H","4644Z"
"514J","4644Z"
"514L","4645Z"
"514N","4646Z"
"514Q","4649Z"
"514R","4649Z"
"514S","4643Z"
"515A","4671Z"
"515C","4672Z"
"515E","4673A"
"515F","4673A"
"515H","4674A"
"515J","4674B"
"515L","4675Z"
"515N","4676Z"
"515Q","4677Z"
